index_id,date,open,high,low,close,source,fetched_at
nikkei225,2026-04-15,58134.24,58265.18,58585.95,58028.75,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-04-16,59518.34,58479.83,59688.10,58428.19,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-04-17,58475.90,59255.09,59381.25,58475.90,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-04-20,58824.89,58821.16,59169.13,58687.96,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-04-21,59349.17,59031.51,59611.91,59004.76,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-04-22,59585.86,59104.11,59708.21,59005.48,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-04-23,59140.23,59758.64,60013.98,58621.48,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-04-24,59716.18,59407.44,59763.68,59225.37,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-04-27,60537.36,59880.71,60903.95,59608.63,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-04-28,59917.46,60531.78,60634.66,59701.84,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-04-30,59284.92,59484.71,59560.57,58928.20,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-05-01,59513.12,59379.12,59706.70,59263.50,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-05-07,62833.84,60241.31,63091.14,60213.02,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-05-08,62713.65,62654.01,62724.36,62137.95,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-05-11,62417.88,63203.44,63385.04,62380.62,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-05-12,62742.57,62618.72,63218.51,62158.43,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-05-13,63272.11,62398.02,63347.91,62318.87,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-05-14,62654.05,63263.46,63799.32,62654.05,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-05-15,61409.29,62878.71,63235.77,60937.30,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-05-18,60815.95,61299.87,61478.55,60376.98,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-05-19,60550.59,61202.84,61456.31,60256.33,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
